id|text|author|statement_date|registration_date|main_article_title|main_article_text|main_article_url|topic_id|sub_topics|fact_checker_accuracy|publication_date
51|Κορωνοϊός-Λέσβος: Συναγερμός μετά τα 82 συνολικά κρούσματα - Lockdown για πρόσφυγες, με μάσκα στους ναούς|topontiki|2020-08-27 23:00:00|2022-06-08 20:59:00|Κορωνοϊός-Λέσβος: Συναγερμός μετά τα 82 συνολικά κρούσματα - Lockdown για πρόσφυγες, με μάσκα στους ναούς|"'"Με δεδομένα τα 22 κρούσματα της νόσου του κορονοϊού (Covid-19), και την αύξηση σε 82 των κρουσμάτων σε δυο βδομάδες πραγματοποιήθηκε σήμερα στη Μυτιλήνη σύσκεψη της Επιτροπής Γνωμοδότησης για την αντιμετώπιση των κινδύνων που εγκυμονεί  η πανδημία στο νησί της Λέσβου'"."|http://www.topontiki.gr/article/402369/koronoios-lesvos-synagermos-meta-ta-82-synolika-kroysmata-lockdown-gia-prosfyges-me|1|{Πανδημία}|3|2020-08-27 23:00:00
63|"Παναγιώτης Χαρέλας, πρόεδρος της  Πανελλήνιας Ομοσπονδίας Συνοριακών Φυλάκων : '"Οι μετανάστες ξεφορτώνονται με στρατιωτικά οχήματα'""|Παναγιώτης Χαρέλας|2020-10-18 23:00:00|2022-04-18 17:12:00|Αποκλειστικό Newpost: Η Τουρκία «επιστρέφει» στον Έβρο - Στοιβάζουν μετανάστες σε τουρκικά στρατόπεδα για να τους περάσουν στην Ελλάδα (Εικόνες)|Ό,τι δεν κατάφεραν τον περασμένο Μάρτιο στον Έβρο φαίνεται ότι επιχειρούν να κάνουν ξανά οι Τούρκοι τώρα, στοιβάζοντας μετανάστες στα σύνορά τους, έτσι ώστε να τους περάσουν μέσω του ποταμού στην Ελλάδα|https://newpost.gr/ellada/5f8d32a53f9dcc386572be28/apokleistiko-newpost-i-toyrkia-epistrefei-ston-evro-stoivazoyn-metanastes-se-toyrkika-stratopeda-gia-na-toys-perasoyn-stin-ellada-eikones|1|{Διελεύσεις,Παραμονή}|2|2020-10-18 23:00:00
163|Έσπασε ρεκόρ η θερμοκρασία του Μαρτίου, ανησυχητικές διαπιστώσεις|dikaiologitika.gr |2023-04-06 21:00:00|2023-05-05 08:11:00|Έσπασε ρεκόρ η θερμοκρασία του Μαρτίου, ανησυχητικές διαπιστώσεις|""|https://www.dikaiologitika.gr/eidhseis/science/424983/espase-rekor-i-thermokrasia-tou-martiou-anisyxitikes-diapistoseis|1005|{}|4|2023-04-06 21:00:00
171|Γαλλικός Τύπος: Πώς η Ελλάδα τα καταφέρνει καλύτερα στο μεταναστευτικό|Αθηναϊκό - Μακεδονικό Πρακτορείο Ειδήσεων |2023-09-23 15:51:00|2023-10-02 11:43:00|Γαλλικός Τύπος: Πώς η Ελλάδα τα καταφέρνει καλύτερα στο μεταναστευτικό|Οι ροές από την Ελλάδα έχουν μειωθεί σημαντικά από τότε που λειτουργούν οι Κλειστές Ελεγχόμενες Δομές για μετανάστες|https://www.amna.gr/home/article/762539/Gallikos-Tupos-Pos-i-Ellada-ta-katafernei-kalutera-sto-metanasteutiko|1|{}|1|2023-10-23 03:51:00
129|«Με την συμφωνία στο Eurogroup για τη μονιμοποίηση του νησιωτικού Φ.Π.Α. στα 5 νησιά του Αιγαίου που επηρεάζονται από την μεταναστευτική κρίση, δίνεται επιτέλους μια οριστική λύση σε ένα σημαντικό ζήτημα που είχε προκαλέσει η απόφαση της προηγούμενης κυβέρνησης ΣΥΡΙΖΑ/ΑΝΕΛ να τον καταργήσει. […] Η Κυβέρνηση εκπληρώνει με συνέπεια και αποτελεσματικότητα τις δεσμεύσεις της προς τις νησιωτικές κοινωνίες». |Νότης Μηταράκης, Υπουργός Μετανάστευσης και Ασύλου - Βουλευτής ΝΔ |2021-06-16 21:00:00|2022-06-18 16:14:00|Μονιμοποίηση μειωμένου ΦΠΑ για τα 5 νησιά του Ανατολικού Αιγαίου|Στη σημερινή συνεδρίαση του Eurogroup, ελήφθη οριστικά η απόφαση για μόνιμη μείωση ΦΠΑ στα 5 νησιά του Ανατολικού Αιγαίου (Χίος, Λέσβος, Κως, Λέρος και Σάμος) εφεξής και για όσο διάστημα συνεχίζουν να λειτουργούν σε αυτά δομές φιλοξενίας. Η απόφαση αυτή αποσυνδέει, για πρώτη φορά, την εφαρμογή του μειωμένου ΦΠΑ από τον αριθμό των διαμενόντων στις δομές φιλοξενίας, αλλά και την μεταβλητότητα των μεταναστευτικών ροών. Η σχετική τροπολογία θα κατατεθεί τις επόμενες ημέρες από το Υπουργείο Οικονομικών προς ψήφιση στη Βουλή. |https://migration.gov.gr/monimopoiisi-meiomenoy-fpa-gia-ta-5-nisia-toy-anatolikoy-aigaioy/?fbclid=IwAR1xr5zNq2QPn76VOq-iTFg4tokJOdNIEz3m9ZF0Nq-bcTsNwoSGq9T5T_g|1|"{'"Νησιά Αιγαίου'"}"|3|2021-06-16 21:00:00
67|Καρά Τεπέ: Κλέβουν ο ένας τον άλλο οι μετανάστες|Πρώτο Θέμα|2020-11-11 00:00:00|2022-05-15 07:40:00|Καρά Τεπέ: Κλέβουν ο ένας τον άλλο οι μετανάστες|Εξιχνιάστηκαν πέντε περιπτώσεις κλοπών|https://www.protothema.gr/greece/article/1064134/klevoun-o-enas-ton-allo-oi-metanastes-sto-kara-tepe/|1|{Παραβατικότητα}|2|2020-11-11 00:00:00
39|Χωρίς παιδική προστασία τα ανήλικα ασυνόδευτα οδεύουν προς απέλαση. Κατά παράβαση διεθνών συμβάσεων παιδιά άνω των 15 ετών κρίνονται με ταχύρρυθμες διαδικασίες ενηλίκων |Θεανώ Φωτίου|2020-06-08 23:00:00|2022-02-20 14:42:00|Θ. Φωτίου: Χωρίς παιδική προστασία τα ανήλικα ασυνόδευτα οδεύουν προς απέλαση κατά παράβαση διεθνών συμβάσεων|"'"Αυτή η μεταφορά ακυρώνει στην πράξη και το νόμο της επιτροπείας η οποία διατηρείται μεν ως αρμοδιότητα στο ΕΚΚΑ, αλλά ως «πουκάμισο αδειανό», χωρίς γνώση πλέον των στοιχείων των παιδιών, της κίνησής τους και της κατανομής τους σε δομές φιλοξενίας'". "|https://www.avgi.gr/article/10842/11159665/th-photiou-choris-paidike-prostasia-ta-anelika-asynodeuta-odeuoun-pros-apelase-kata-parabase-diethnon-symbaseon|1|{Ανήλικοι}|2|2020-06-08 23:00:00
127|Περίπου 800 συλλήψεις σε μια εβδομάδα στο κέντρο της Αθήνας|Αστυνομία|2022-06-13 21:00:00|2022-06-14 20:53:00|Αστυνομία: Περίπου 800 συλλήψεις σε μια εβδομάδα στο κέντρο της Αθήνας - Οι 97 για ναρκωτικά|Στο πλαίσιο αστυνομικών επιχειρήσεων στο κέντρο της Αθήνας, το διάστημα 6-13 Ιουνίου, πραγματοποιήθηκαν 2.660 προσαγωγές ατόμων|https://www.protothema.gr/greece/article/1254269/astunomia-peripou-800-sullipseis-se-mia-evdomada-sto-kedro-tis-athinas-oi-97-gia-narkotika/|2|"{'"Ειδικές Αστυνομικές Επιχειρήσεις'"}"|4|2022-06-13 21:00:00
172|Οι μισοί νόμιμοι μετανάστες είναι αλβανικής καταγωγής και οι άλλοι μισοί Ευρωπαίοι πολίτες.|Δημήτρης Καιρίδης, Υπουργός Μετανάστευσης και Ασύλου|2023-10-09 21:00:00|2023-10-14 14:42:00|Καιρίδης: Μειώνεται ο αριθμός μεταναστών στην Ελλάδα - Θέλουμε να υπάρξει δημόσια τάξη.|Συνολικά στην Ελλάδα έχουμε 700.000 νόμιμους μετανάστες, οι μισοί εκ των οποίων είναι αλβανικής καταγωγής, οι άλλοι μισοί κυρίως από χώρες της Ευρωπαϊκής Ένωσης, τόνισε μεταξύ άλλων ο υπουργός Μετανάστευσης και Ασύλου.|https://www.cnn.gr/politiki/story/383747/kairidis-meionetai-o-arithmos-metanaston-stin-ellada-theloume-na-yparksei-dimosia-taksi|1|{}|2|2023-10-13 21:00:00
164|"'"Καταφέραμε και είμαστε 7οι στον κόσμο σε παραγωγή καθαρής ενέργειας'" "|"Προεκλογικό σποτ της ΝΔ '"Για καθαρή και πιο φτηνή ενέργεια'" "|2023-05-05 21:00:00|2023-05-11 10:55:00|"'"Για καθαρή και πιο φτηνή ενέργεια'" "|Προεκλογικό σποτ της ΝΔ αναφέρει ότι η χώρα είναι 7η παγκοσμίως σε παραγωγή καθαρής ενέργειας |https://www.youtube.com/watch?v=1nEVE-Uw9i8|1005|{}|4|2023-05-18 21:00:00
99|Νότης Μηταράκης: «Οι κατηγορίες που απευθύνονται στην Ελλάδα [για επαναπροωθήσεις μεταναστών] είναι παντελώς αβάσιμες»|Νότης Μηταράκης, Υπουργός Μετανάστευσης και Ασύλου - Βουλευτής ΝΔ |2021-07-12 23:00:00|2022-03-01 17:10:00|Μηταράκης: Παντελώς αβάσιμες οι κατηγορίες για «επαναπροωθήσεις» μεταναστών|"Απάντηση αναφορικά με την διαχείριση του μεταναστευτικού ζητήματος και στα όσα είπε η Ευρωπαία Επίτροπος Μετανάστευσης, Ίλβα Γιόχανσον, δίνει ο υπουργός Μετανάστευσης και Ασύλου, Νότης Μηταράκης.

«Οι κατηγορίες που απευθύνονται στην Ελλάδα είναι παντελώς αβάσιμες και εδράζονται σε πλάνα ή μαρτυρίες που παρέχονται από τη χώρα αναχώρησης» σχολιάζει ο κ. Μηταράκης στα περί φημολογούμενων «επαναπροωθήσεων» μεταναστών.
"|https://www.protothema.gr/politics/article/1142902/mitarakis-padelos-avasimes-oi-katigories-gia-epanaproothiseis-metanaston/|1|{επαναπροωθήσεις}|2|2021-07-12 23:00:00
40|Είναι λίγο δύσκολο να εξηγήσουμε σε όλο αυτό τον κόσμο ότι οι διαδικασίες πλέον γίνονται ψηφιακά|Νότης Μηταράκης|2020-06-10 23:00:00|2022-05-02 19:06:00|"Μηταράκης για υπηρεσία ασύλου: «είναι λίγο δύσκολο να εξηγήσουμε σε όλο αυτό τον κόσμο ότι οι διαδικασίες πλέον γίνονται ψηφιακά

"|Η δήλωση είναι ανακριβής. Επιχειρεί να μεταθέσει την ευθύνη στους ίδιους τους πολίτες που υπέστησαν πολυήμερη ταλαιπωρία και υγειονομικό κίνδυνο. |https://www.skai.gr/news/greece/mitarakis-gia-ypiresia-asylou-8-stous-10-den-xreiazetai-na-einai-stin-oura|1|{Υγεία}|2|2020-06-10 23:00:00
154|«Το 2020, 2,6 δισεκατομμύρια άνθρωποι, ή το 38% του παγκόσμιου πληθυσμού, ήταν υπέρβαροι ή παχύσαρκοι» |Καθημερινή (Newsroom)|2023-03-02 14:24:00|2023-03-19 13:08:00|Πάνω από το 50% του παγκόσμιου πληθυσμού θα είναι υπέρβαρο ή παχύσαρκο ως το 2035|Οι υπέρβαροι και παχύσαρκοι μπορεί να είναι περισσότεροι από 4 δισεκατομμύρια ως το 2035, από εκεί που το 2020 ήταν 2,6 δισεκατομμύρια. Πάνω από το 50% του παγκόσμιου πληθυσμού θα είναι υπέρβαρο ή παχύσαρκο ως το 2035 αν δεν αναληφθεί σημαντική δράση, σύμφωνα με νέα έκθεση που δόθηκε σήμερα στη δημοσιότητα.|https://www.kathimerini.gr/world/562302817/pano-apo-to-50-toy-pagkosmioy-plithysmoy-tha-einai-ypervaro-i-pachysarko-os-to-2035/|1006|{Παχυσαρκία}|3|2023-03-02 14:24:00
130|«Στη σημερινή συνεδρίαση του Eurogroup, ελήφθη οριστικά η απόφαση για μόνιμη μείωση ΦΠΑ στα 5 νησιά του Ανατολικού Αιγαίου (Χίος, Λέσβος, Κως, Λέρος και Σάμος) εφεξής και για όσο διάστημα συνεχίζουν να λειτουργούν σε αυτά δομές φιλοξενίας. Η απόφαση αυτή αποσυνδέει, για πρώτη φορά, την εφαρμογή του μειωμένου Φ.Π.Α. από τον αριθμό των διαμενόντων στις δομές φιλοξενίας, αλλά και την μεταβλητότητα των μεταναστευτικών ροών. Η σχετική τροπολογία θα κατατεθεί τις επόμενες ημέρες από το Υπουργείο Οικονομικών προς ψήφιση στη Βουλή»|Νότης Μηταράκης, Υπουργός Μετανάστευσης και Ασύλου - Βουλευτής ΝΔ |2021-06-16 21:00:00|2022-06-18 16:24:00|Μονιμοποίηση μειωμένου ΦΠΑ για τα 5 νησιά του Ανατολικού Αιγαίου|Στη σημερινή συνεδρίαση του Eurogroup, ελήφθη οριστικά η απόφαση για μόνιμη μείωση ΦΠΑ στα 5 νησιά του Ανατολικού Αιγαίου (Χίος, Λέσβος, Κως, Λέρος και Σάμος) εφεξής και για όσο διάστημα συνεχίζουν να λειτουργούν σε αυτά δομές φιλοξενίας. Η απόφαση αυτή αποσυνδέει, για πρώτη φορά, την εφαρμογή του μειωμένου ΦΠΑ από τον αριθμό των διαμενόντων στις δομές φιλοξενίας, αλλά και την μεταβλητότητα των μεταναστευτικών ροών. Η σχετική τροπολογία θα κατατεθεί τις επόμενες ημέρες από το Υπουργείο Οικονομικών προς ψήφιση στη Βουλή. |https://migration.gov.gr/monimopoiisi-meiomenoy-fpa-gia-ta-5-nisia-toy-anatolikoy-aigaioy/?fbclid=IwAR1xr5zNq2QPn76VOq-iTFg4tokJOdNIEz3m9ZF0Nq-bcTsNwoSGq9T5T_g|1|"{'"Νησιά Αιγαίου'"}"|4|2021-06-16 21:00:00
165|Ο φράχτης υπήρχε όταν ανέλαβα το 2015. Τώρα θα γίνει η επέκτασή του|Αλέξης Τσίπρας, Πρόεδρος ΣΥΡΙΖΑ-ΠΣ|2023-05-01 21:00:00|2023-05-13 15:43:00|Τσίπρας στον ΣΚΑΪ: Η απλή αναλογική κατά πάσα πιθανότητα θα βγάλει κυβέρνηση|Υπήρχε σε αυτή την έκταση. Τώρα θα γίνει η επέκτασή του. Δεν τον γκρεμίσαμε τον φράχτη, απλά δεν μας έσωσε κανένας φράχτης.|https://www.skai.gr/news/politics/tsipras-ston-skai-synenteyksi-tou-proedrou-tou-syriza|1|{}|3|2023-05-12 21:00:00
104|Νότης Μηταράκης: «Βρήκαμε 95.000 άτομα και τώρα έχουμε κάτω από 5.000 στα νησιά»|Νότης Μηταράκης, Υπουργός Μετανάστευσης και Ασύλου - Βουλευτής ΝΔ |2021-08-29 23:00:00|2022-03-01 17:30:00|Άγρια κόντρα Μηταράκη – Ηλιόπουλου: Το να έρθουν εδώ 38 εκατομμύρια Αφγανοί δεν είναι πραγματικότητα|Από πλευράς του ο υπουργός Μετανάστευσης και Ασύλου τόνισε πως η Ελλάδα δεν είναι αποθήκη αλλά το ακριβώς αντίθετο και υπενθύμισε την κατάσταση που επικρατούσε στην χώρα επί ΣΥΡΙΖΑ. «Βρήκαμε 95.000 άτομα και τώρα έχουμε κάτω από 5.000 στα νησιά», είπε ο κ. Μηταράκης χαρακτηριστικά σημειώνοντας πως η κυβέρνηση επιθυμεί να δοθεί ευρωπαϊκή λύση στο πρόβλημα που προκύπτει μετά την ανάληψη της εξουσίας από τους Ταλιμπάν στο Αφγανιστάν.|https://eleftherostypos.gr/politiki/812443-%ce%acgria-kontra-mitaraki-iliopoyloy-to-na-erthoyn-edo-38-ekatommyria-afganoi-den-einai-pragmatikotita/|1|"{νησιά,'"αριθμός φιλοξενουμένων'",'"κυκλώματα λαθροδιακινητών'",'"πολιτική μετακίνησης Ε.Ε. '"}"|1|2021-08-29 23:00:00
57|Εβδομήντα γυναίκες αστυνομικοί συμμετείχαν σε επιχείρηση της ΕΛ.ΑΣ στη Λέσβο για την μεταφορά των μεταναστών στη δομή του Καρά Τεπέ|Ελληνική Αστυνομία|2020-09-16 23:00:00|2022-05-02 21:39:00|Γυναίκες αστυνομικοί  «Θηλυκό τάγμα» επιστρατεύτηκε στη Λέσβο για να πειστούν πρόσφυγες και μετανάστες|Πρόκειται για επιχείρηση για την προστασία της δημόσιας υγείας με σαφές ανθρωπιστικό περιεχόμενο.|https://www.tanea.gr/2020/09/17/greece/thilyko-tagma-epistrateytike-sti-lesvo-gia-na-peistoun-prosfyges-kai-metanastes/|1|{ΚΥΤ}|2|2020-09-16 23:00:00
155|«Εκτιμάται ότι παγκοσμίως το 13% του ενήλικου πληθυσμού είναι παχύσαρκο».  |Onmed.gr|2022-03-03 06:12:00|2023-03-20 13:30:00|Παχύσαρκο το 13% του παγκόσμιου πληθυσμού - 15,5% το ποσοστό στην Ελλάδα|Παχυσαρκία ορίζεται ως η νόσος του ενεργειακού μεταβολισμού, στην οποία υπάρχει παθολογικά αυξημένη συσσώρευση λίπους στο ανθρώπινο σώμα, σε σημείο ώστε να αποτελεί κίνδυνο για την υγεία.|https://www.onmed.gr/ygeia-eidhseis/story/395244/paxysarko-to-13-toy-pagkosmioy-plithysmoy-15-5-to-pososto-stin-ellada|1006|{Παχυσαρκία}|3|2022-03-03 06:12:00
166|"'"Το σημαντικότερο για το ΜέΡΑ25-Συμμαχία για τη Ρήξη αλλά κυρίως για την ενημέρωση των πολιτών, ήταν ότι καταφέραμε να εισάγουμε [σ.σ στο debate της 10ης Μαΐου 2023]  ως μία από τις έξι θεματικές το Περιβάλλον και την Κλιματική καταστροφή, ένα θέμα που δεν υπήρχε στις προτεραιότητες των υπολοίπων κομμάτων,...'""|ΜΕΡΑ25 |2023-04-28 21:00:00|2023-06-02 11:12:00|Θεματική για το Περιβάλλον και την Κλιματική καταστροφή στο debate με πρωτοβουλία του ΜέΡΑ25-Συμμαχία για τη Ρήξη|Στις 29 Απριλίου, αναρτήθηκε στον ιστότοπο του ΜΕΡΑ25 ανακοίνωση στην οποία αναφερόταν ότι με πρωτοβουλία του κόμματος εισήχθη στο debate της 10ης Μαΐου ως μία από τις έξι θεματικές το Περιβάλλον και την Κλιματική καταστροφή. |https://mera25.gr/thematiki-gia-to-perivallon-kai-tin-klimatiki-katastrofi-sto-debate-me-protovoulia-tou-mera25-symmachia-gia-ti-rixi/|1005|{}|4|2023-06-01 21:00:00
38|Έντονη κινητικότητα στα σύνορα στον Έβρο. Το συγκεντρωμένο πλήθος των μεταναστών φαίνεται να ξεπερνάει τις 6.000|Evrosonline|2020-06-03 17:00:00|2022-02-20 14:40:00|Έντονη κινητικότητα στα σύνορα στον Έβρο. Συναγερμός στις αστυνομικές αρχές|«Υπάρχει έντονη κινητικότητα αυτήν την ώρα στην τουρκική πλευρά».|https://evrosonline.gr/entoni-kinitikotita-sta-synora-ston-eakjssnsmsndnnd/|1|{Άμυνα}|1|2020-06-03 23:00:00
